,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,buy_price,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,Pisos,Casa o chalet,Áticos,Dúplex,distrito_id_num,neighborhood_id_num,neighborhood_price_m2,estimado_metros_por_preciom2
22,76.0,3,1.0,2.0,0,110000,1,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,122905.68
23,51.0,2,1.0,0.0,1,93000,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,82476.18000000001
24,134.0,3,2.0,2.0,0,130000,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,216702.12
25,62.0,2,1.0,2.0,0,104000,0,0,1970.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,100265.16
26,75.0,3,1.0,3.0,0,138000,0,0,1984.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0.0,0,0,0,1,1,0,0,0,21.0,134.0,1617.18,121288.5
27,112.0,4,2.0,2.0,0,280000,0,0,1970.0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0.0,0,1,1,1,1,0,0,0,21.0,131.0,2197.8,246153.60000000003
28,65.0,3,1.0,1.0,0,150000,1,0,1976.0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,118806.35
29,70.0,2,1.0,3.0,0,145900,0,0,1968.0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,113202.6
30,75.0,1,1.0,1.0,0,92500,0,0,2008.0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0.0,1,1,1,1,1,0,0,0,21.0,134.0,1617.18,121288.5
31,123.0,3,2.0,7.0,0,298000,0,0,2002.0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,224818.17
32,61.0,3,1.0,2.0,0,99900,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,98647.98
33,72.0,2,1.0,3.0,0,138000,0,0,1970.0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,116436.96
34,61.0,3,1.0,5.0,0,100000,0,0,1966.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,1,0,1,0,0,0,21.0,131.0,2197.8,134065.80000000002
35,71.0,3,1.0,1.0,0,131400,1,0,1980.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,114819.78
36,87.0,3,1.0,2.0,0,96000,1,0,1970.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,159017.73
37,60.0,2,1.0,1.0,0,154000,0,0,1970.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,97030.8
